,High,Low,Open,Close,Volume,Adj Close
2005-12-09,14953.33984,14870.95996,14905.57031,14910.50977,232244400,14910.50977
2005-12-12,15079.95996,14972.05957,14991.62012,14984.40039,199318800,14984.40039
2005-12-13,14995.62988,14863.83984,14981.23047,14942.62012,330070000,14942.62012
2005-12-14,14981.4502,14867.71973,14981.4502,14976.25977,278860600,14976.25977
2005-12-15,15078.91992,15025.54004,15039.62988,15059.01953,318937000,15059.01953
2005-12-16,15078.37012,14967.78027,15077.98047,15029.80957,306449400,15029.80957
2005-12-19,15200.11035,15044.90039,15044.90039,15182.88965,310365600,15182.88965
2005-12-20,15200.7002,15128.58984,15172.12988,15169.16992,250971000,15169.16992
2005-12-21,15272.71973,15210.92969,15219.26953,15221.41992,243252200,15221.41992
2005-12-22,15252.4502,15170.91992,15251.09961,15182.53027,243697200,15182.53027
2005-12-23,15226.03027,15182.63965,15208.83984,15183.58008,164157400,15183.58008
2005-12-28,15173.48047,15049.41016,15076.94043,15101.54004,215911000,15101.54004
2005-12-29,15151.32031,15028.28027,15146.5498,15045.58984,266347000,15045.58984
2005-12-30,14972.2002,14811.63965,14959.41992,14876.42969,448872000,14876.42969
2006-01-03,14945.0498,14843.96973,14843.96973,14944.76953,250383000,14944.76953
2006-01-04,15208.86035,15085.44043,15112.75977,15200.05957,565220200,15200.05957
2006-01-05,15373.79004,15261.82031,15313.84961,15271.12988,514294600,15271.12988
2006-01-06,15347,15252.48047,15327.29004,15344.44043,397727400,15344.44043
2006-01-09,15602.87988,15497.71973,15497.96973,15547.42969,581542400,15547.42969
2006-01-10,15658.91016,15500.16016,15638.40039,15569.91016,581719000,15569.91016
2006-01-11,15725.46973,15584.54004,15584.54004,15650.87988,576574400,15650.87988
2006-01-12,15791.2998,15651.95996,15767.94043,15719.37012,503136400,15719.37012
2006-01-13,15792.36035,15670.76953,15672.38965,15787.96973,380816800,15787.96973
2006-01-16,15816.54004,15745.04004,15787.26953,15777.71973,393659200,15777.71973
2006-01-17,15798.51953,15550.23047,15798.51953,15576.2002,506251600,15576.2002
2006-01-18,15525.59961,15376.4502,15426.91992,15481.20996,437278800,15481.20996
2006-01-19,15675.26953,15549.67969,15555.78027,15670.41992,418395400,15670.41992
2006-01-20,15788.07031,15565.50977,15700.70996,15662.08008,556324200,15662.08008
